X,Y
1.774012076,20.87402893
18.36930636,2.695281278
0.246516943,26.80397019
20.23530063,3.644676426
22.12538487,8.125760773
1.211386111,27.55832836
3.124893869,21.1475682
28.93992626,28.09493619
18.27311389,0
14.72173198,0
4.00564422,16.93684791
14.63707332,0
26.78081853,18.24277472
21.15512672,7.487737024
9.988429874,5.180570872
9.262030355,5.169859378
19.406979,2.023549911
15.09612865,0.358979581
0.43730938,27.0498048
3.27087591,19.87040952
7.441731293,9.188254347
12.26907224,3.12025262
23.77750687,11.66503267
17.5752159,2.408111585
22.21360512,4.939371791
14.98523769,0
28.06626775,24.36701422
14.51099402,0
4.904072993,11.442692
27.27606132,19.14898885
8.38770915,5.635779242
4.161396912,17.8001546
7.597443558,8.626329061
8.132275869,5.69573779
28.50238991,24.48430805
23.37798647,7.647297932
18.24348266,0
15.40272671,0.849776255
12.88274912,2.030130228
3.745187839,14.48425477
2.0291324,22.65608265
26.31404071,16.26680026
10.36525588,2.021372097
10.61710341,1.38476096
12.71192986,0
25.90092105,14.82675067
16.70229852,0.289579928
17.25817927,0
10.75514973,4.645292944
10.36283579,4.807369076
20.18057904,2.533650896
18.25521153,1.274233367
2.221455019,22.2205905
8.474728321,3.303428146
26.20331168,16.81546812
14.27115818,1.58234682
25.51133397,14.38091501
9.304704214,3.166467201
29.72491945,30
9.788926479,4.630501202
17.87755263,3.187814343
23.93429986,8.653021534
19.45453971,5.038796028
0.088803316,29.66541392
16.03202384,0
0.833150307,27.29557853
11.03806882,0.645947057
22.82169783,7.845588541
0.357248186,26.31164649
0.734243645,26.92971569
27.12465776,19.00847217
20.35112306,3.850887911
18.37826693,2.055952473
10.72575028,1.741617065
10.1355834,2.452146169
8.913511348,6.484320653
4.769522308,13.28716514
19.46118969,1.185263043
20.06161755,4.837241722
7.04940019,8.813750197
7.101839129,8.468414917
14.47196838,0.347126224
20.07225432,4.425350605
8.955169774,6.818626808
12.51921548,0
8.792622947,3.636341509
5.002042014,13.7924078
27.61152629,21.01899473
12.22646203,1.690620768
20.8555173,5.271661579
23.06554195,9.800106481
21.24175623,7.476287182
28.77197735,26.7809058
21.22807702,2.811514201
1.809800979,24.46327211
8.977336835,3.656429203
28.29213016,24.5744548
1.164796461,24.21476795
9.908927446,3.704337837
28.95359146,27.49890514
1.030350505,26.53885789
1.477790665,26.36340914
11.09542224,1.931965734
16.22492077,2.27953553
7.052512408,10.83555336
27.45518679,22.15716695
18.26155893,0
25.7304992,12.95336111
0.452601209,29.01884227
28.24740795,23.6101078
8.334448305,4.824519826
6.584865859,8.845884615
24.41813498,13.46295075
19.55004596,2.469340629
17.45999812,2.412882518
3.84446577,17.60346795
23.78074653,9.770642404
6.912633266,8.57044512
19.59270378,3.998369601
19.69916225,5.196287161
27.60547194,20.45680959
21.56721317,7.019687191
2.049000573,22.2092528
3.432961435,20.12816837
16.88374154,1.36197936
10.87332797,4.576582822
21.03888291,2.881078283
1.583539739,22.21097461
5.657861952,10.2079491
10.97748479,3.596409459
24.22683324,9.955617002
23.7995155,8.50866943
23.30256707,9.652846941
3.450391192,16.389898
18.01937761,0
22.22185987,4.860149468
17.03915578,0
17.48787988,0
13.68196243,1.96689517
1.682592148,22.93856394
22.08567209,5.282797604
9.712803403,5.890894442
6.685793931,6.816225034
19.08132832,1.362262386
14.30074336,0
19.66533334,4.053630494
24.82455279,10.91836434
3.331671318,17.30908031
9.656685859,3.240296899
18.0475118,0.847987155
1.634498112,25.66200739
2.556034019,18.51074271
25.18140881,11.90090781
9.545612929,4.389532501
9.491997029,1.863029367
10.99430469,0.953140602
23.89236383,11.6954519
22.12673661,7.00436099
4.226999475,16.25490356
20.64901972,6.486009441
18.96409761,3.251177786
19.99244204,2.813053175
23.60972768,8.103910761
17.9521485,0
20.76978371,1.986882269
17.15886224,2.169100922
12.11228886,1.837696354
24.96265426,13.98474613
15.85616645,1.88446411
3.420149729,17.9034929
18.67086751,3.351136354
27.36824704,18.93165801
26.87553635,18.03813072
4.171477944,14.95754213
22.75205764,8.754259134
27.62627925,18.81099801
27.91848475,22.57372187
26.39857765,17.1224409
0.800311497,26.1859472
11.8303399,0
21.58163854,7.519380852
23.38781987,7.497667361
15.04684013,0.687417607
25.60549221,13.18382469
12.68648058,0
5.441464244,13.44651058
5.662887643,9.671464299
15.69931149,1.356018362
3.488925649,19.54380379
10.36336471,4.2764322
21.2547028,4.132171745
7.239837753,5.721545139
28.74720066,24.87017099
8.892709737,7.352704692
6.038429043,10.1005134
2.959197343,19.24603766
9.129886125,4.780586304
0.7209156,28.03677905
28.37497083,22.35697538
23.13117028,6.958237646
4.152394215,14.18451908
10.13338577,2.974554321
1.04182568,26.36244851
22.94786773,10.22285124
23.81479106,8.027213417
7.180371773,7.764403132
13.7536931,2.019965198
1.098837673,23.82392346
17.13959915,2.037593959
6.803458097,6.480233554
11.33657962,3.427869728
5.188922822,13.7532768
27.65416252,19.66380308
14.60527206,0.993109462
12.77903877,1.885949815
19.57872373,2.93765162
23.11631282,6.460051205
7.21964287,7.157483098
0.360404362,30
27.63197537,19.13637024
9.36571057,3.999444114
5.262829784,12.40054304
14.93126146,0
18.9746071,1.510711836
5.234358756,14.75850975
18.2844374,0.655537808
11.37630427,1.439537999
14.17412597,0
22.18245579,6.103393552
4.294355761,16.07041497
18.90313359,3.227518749
28.21564036,24.57662211
14.05163524,0
29.06619225,24.79568548
16.78763272,0
19.63846924,1.870463367
18.31241898,0.391124344
21.77856152,7.848748818
1.008262168,28.57108806
6.427222967,11.87894321
16.33040933,0
8.252593891,5.591464432
25.71873286,16.52047304
28.9118477,28.11461772
12.39917128,0
24.02230622,9.653319128
